form_number,description,forms_received,approvals,denials,pending,pending_over_6_months,source_file,processing_time_days
0,8,106319.0,59365.0,4402.0,2163012.0,1665443.0,appropriation_requirement_april_2024.csv,504.0
1,9,12243.0,7697.0,459.0,152776.0,106103.0,appropriation_requirement_april_2024.csv,264.0
2,2,7749.0,2220.0,130.0,79725.0,45131.0,appropriation_requirement_april_2024.csv,576.0
2,3,12832.0,22179.0,235.0,157373.0,79150.0,appropriation_requirement_april_2024.csv,138.0
2,4,7785.0,10273.0,900.0,205047.0,144421.0,appropriation_requirement_april_2024.csv,342.0
2,5,59654.0,36890.0,4285.0,547637.0,325862.0,appropriation_requirement_april_2024.csv,378.0
2,6,2798.0,2555.0,319.0,57828.0,41252.0,appropriation_requirement_april_2024.csv,552.0
2,7,3191.0,965.0,108.0,34352.0,19155.0,appropriation_requirement_april_2024.csv,552.0
3,10,7941.0,10844.0,482.0,245590.0,189490.0,appropriation_requirement_april_2024.csv,759.0
4,0,423668.0,399005.0,41102.0,1383721.0,558193.0,appropriation_requirement_april_2024.csv,99.0
5,1,79844.0,72534.0,7003.0,466275.0,82116.0,appropriation_requirement_april_2024.csv,180.0
0,8,86126.0,74051.0,12397.0,2414723.0,1899108.0,appropriation_requirement_april_2025 (1).csv,510.0
1,9,10370.0,7039.0,642.0,210086.0,161627.0,appropriation_requirement_april_2025 (1).csv,267.0
2,2,6535.0,1095.0,93.0,77345.0,41419.0,appropriation_requirement_april_2025 (1).csv,447.0
2,3,27173.0,5662.0,282.0,246689.0,123202.0,appropriation_requirement_april_2025 (1).csv,255.0
2,4,6973.0,7906.0,1453.0,182819.0,138777.0,appropriation_requirement_april_2025 (1).csv,357.0
2,5,45686.0,30910.0,6556.0,601381.0,358426.0,appropriation_requirement_april_2025 (1).csv,360.0
2,6,1593.0,2078.0,318.0,55810.0,46556.0,appropriation_requirement_april_2025 (1).csv,627.0
2,7,8418.0,1054.0,65.0,55384.0,19463.0,appropriation_requirement_april_2025 (1).csv,297.0
3,10,14184.0,6486.0,380.0,244076.0,164962.0,appropriation_requirement_april_2025 (1).csv,735.0
4,0,492135.0,357844.0,24130.0,1870157.0,563647.0,appropriation_requirement_april_2025 (1).csv,87.0
5,1,93866.0,88488.0,8604.0,535141.0,118459.0,appropriation_requirement_april_2025 (1).csv,192.0
0,8,78894.0,66932.0,9109.0,2192899.0,1727711.0,appropriation_requirement_august 2024 (1).csv,477.0
1,9,12923.0,7366.0,550.0,175938.0,122299.0,appropriation_requirement_august 2024 (1).csv,339.0
2,2,4838.0,5901.0,178.0,87326.0,53067.0,appropriation_requirement_august 2024 (1).csv,435.0
2,3,10805.0,10422.0,272.0,156122.0,94584.0,appropriation_requirement_august 2024 (1).csv,213.0
2,4,11152.0,14043.0,1766.0,178644.0,141111.0,appropriation_requirement_august 2024 (1).csv,372.0
2,5,43057.0,44044.0,4989.0,517614.0,316487.0,appropriation_requirement_august 2024 (1).csv,324.0
2,6,2062.0,1859.0,218.0,58216.0,44098.0,appropriation_requirement_august 2024 (1).csv,612.0
2,7,4757.0,2621.0,198.0,46283.0,23642.0,appropriation_requirement_august 2024 (1).csv,405.0
3,10,4783.0,11729.0,502.0,221523.0,185036.0,appropriation_requirement_august 2024 (1).csv,708.0
4,0,412713.0,399214.0,36431.0,1268169.0,545784.0,appropriation_requirement_august 2024 (1).csv,90.0
5,1,95254.0,64790.0,6435.0,507844.0,79736.0,appropriation_requirement_august 2024 (1).csv,186.0
0,8,71930.0,82886.0,10550.0,2389683.0,1952870.0,appropriation_requirement_august 2025 (1).csv,444.0
1,9,13409.0,5758.0,664.0,228989.0,183318.0,appropriation_requirement_august 2025 (1).csv,279.0
2,2,5152.0,1882.0,106.0,95630.0,61691.0,appropriation_requirement_august 2025 (1).csv,447.0
2,3,13748.0,2784.0,190.0,312913.0,191660.0,appropriation_requirement_august 2025 (1).csv,351.0
2,4,6937.0,11827.0,1044.0,170429.0,131788.0,appropriation_requirement_august 2025 (1).csv,285.0
2,5,38614.0,48366.0,6446.0,560751.0,366856.0,appropriation_requirement_august 2025 (1).csv,264.0
2,6,1615.0,3642.0,372.0,52364.0,45318.0,appropriation_requirement_august 2025 (1).csv,594.0
2,7,7975.0,2333.0,80.0,83594.0,36298.0,appropriation_requirement_august 2025 (1).csv,255.0
3,10,11815.0,9466.0,222.0,260980.0,184602.0,appropriation_requirement_august 2025 (1).csv,612.0
4,0,222122.0,279876.0,24111.0,1775993.0,803327.0,appropriation_requirement_august 2025 (1).csv,108.0
5,1,76056.0,71866.0,7057.0,528842.0,113954.0,appropriation_requirement_august 2025 (1).csv,192.0
0,8,77435.0,59070.0,7794.0,2042955.0,1600707.0,appropriation_requirement_december_2023.csv,657.0
1,9,11646.0,6893.0,352.0,140490.0,91131.0,appropriation_requirement_december_2023.csv,216.0
2,2,4997.0,3640.0,220.0,63706.0,34903.0,appropriation_requirement_december_2023.csv,561.0
2,3,28201.0,9514.0,424.0,164215.0,55219.0,appropriation_requirement_december_2023.csv,162.0
2,4,11701.0,5225.0,742.0,204631.0,152503.0,appropriation_requirement_december_2023.csv,390.0
2,5,37190.0,26702.0,3245.0,527964.0,333161.0,appropriation_requirement_december_2023.csv,369.0
2,6,3171.0,2280.0,270.0,58017.0,42464.0,appropriation_requirement_december_2023.csv,498.00000000000006
2,7,2441.0,1633.0,171.0,28320.0,15259.0,appropriation_requirement_december_2023.csv,546.0
3,10,9407.0,6374.0,475.0,249318.0,188579.0,appropriation_requirement_december_2023.csv,750.0
4,0,361654.0,361510.0,29713.0,1553098.0,644303.0,appropriation_requirement_december_2023.csv,129.0
5,1,64383.0,55063.0,5773.0,416964.0,96105.0,appropriation_requirement_december_2023.csv,198.0
0,8,89686.0,45019.0,7232.0,2313876.0,1853955.0,appropriation_requirement_december_2024 (1).csv,504.0
1,9,12299.0,5708.0,630.0,199910.0,142558.0,appropriation_requirement_december_2024 (1).csv,339.0
2,2,7082.0,8310.0,316.0,77686.0,44355.0,appropriation_requirement_december_2024 (1).csv,345.0
2,3,20685.0,8663.0,309.0,181390.0,104912.0,appropriation_requirement_december_2024 (1).csv,264.0
2,4,10847.0,6453.0,1000.0,189370.0,137103.0,appropriation_requirement_december_2024 (1).csv,345.0
2,5,41686.0,27556.0,4015.0,549946.0,331244.0,appropriation_requirement_december_2024 (1).csv,354.0
2,6,1696.0,1175.0,204.0,58039.0,48027.0,appropriation_requirement_december_2024 (1).csv,663.0
2,7,5957.0,4799.0,161.0,45907.0,19049.0,appropriation_requirement_december_2024 (1).csv,273.0
3,10,12448.0,7449.0,334.0,217205.0,175256.0,appropriation_requirement_december_2024 (1).csv,678.0
4,0,415609.0,401008.0,26989.0,1190183.0,507833.0,appropriation_requirement_december_2024 (1).csv,90.0
5,1,74910.0,66998.0,5815.0,535601.0,119145.0,appropriation_requirement_december_2024 (1).csv,183.0
0,8,77084.0,54463.0,7511.0,2060390.0,1623648.0,appropriation_requirement_february_2024.csv,675.0
1,9,11009.0,7479.0,451.0,145256.0,98866.0,appropriation_requirement_february_2024.csv,245.99999999999997
2,2,5293.0,2002.0,189.0,69063.0,39450.0,appropriation_requirement_february_2024.csv,615.0
2,3,19704.0,20257.0,227.0,171899.0,67208.0,appropriation_requirement_february_2024.csv,135.0
2,4,13681.0,10428.0,1056.0,206916.0,146219.0,appropriation_requirement_february_2024.csv,324.0
2,5,36577.0,30621.0,4162.0,519113.0,329640.0,appropriation_requirement_february_2024.csv,396.0
2,6,3551.0,2317.0,313.0,58240.0,41900.0,appropriation_requirement_february_2024.csv,582.0
2,7,2577.0,1012.0,164.0,30474.0,16436.0,appropriation_requirement_february_2024.csv,612.0
3,10,10244.0,9465.0,489.0,250257.0,191055.0,appropriation_requirement_february_2024.csv,801.0
4,0,407570.0,403851.0,49652.0,1395742.0,610425.0,appropriation_requirement_february_2024.csv,105.0
5,1,81332.0,68971.0,6663.0,426255.0,90043.0,appropriation_requirement_february_2024.csv,189.0
0,8,84355.0,51220.0,8434.0,2384024.0,1889486.0,appropriation_requirement_february_2025 (1).csv,552.0
1,9,9035.0,6659.0,533.0,205998.0,150914.0,appropriation_requirement_february_2025 (1).csv,321.0
2,2,6111.0,9012.0,253.0,73067.0,38546.0,appropriation_requirement_february_2025 (1).csv,348.0
2,3,24385.0,10984.0,298.0,207564.0,109059.0,appropriation_requirement_february_2025 (1).csv,245.99999999999997
2,4,8484.0,8892.0,1519.0,186955.0,133623.0,appropriation_requirement_february_2025 (1).csv,339.0
2,5,43347.0,25479.0,5159.0,573826.0,338195.0,appropriation_requirement_february_2025 (1).csv,414.0
2,6,1686.0,2037.0,269.0,57676.0,47633.0,appropriation_requirement_february_2025 (1).csv,576.0
2,7,6617.0,6846.0,187.0,44964.0,16780.0,appropriation_requirement_february_2025 (1).csv,252.0
3,10,15152.0,9705.0,353.0,226832.0,165557.0,appropriation_requirement_february_2025 (1).csv,669.0
4,0,496399.0,258214.0,27519.0,1420295.0,488237.0,appropriation_requirement_february_2025 (1).csv,122.99999999999999
5,1,79442.0,76002.0,7847.0,531595.0,129981.0,appropriation_requirement_february_2025 (1).csv,192.0
0,8,74025.0,66643.0,8397.0,2041211.0,1607676.0,appropriation_requirement_january_2024.csv,627.0
1,9,10418.0,8422.0,553.0,142134.0,94675.0,appropriation_requirement_january_2024.csv,240.0
2,2,5229.0,2751.0,212.0,66118.0,36722.0,appropriation_requirement_january_2024.csv,618.0
2,3,26898.0,14660.0,308.0,175083.0,61543.0,appropriation_requirement_january_2024.csv,162.0
2,4,11351.0,10645.0,971.0,204629.0,151213.0,appropriation_requirement_january_2024.csv,321.0
2,5,34103.0,32159.0,4508.0,516130.0,327850.0,appropriation_requirement_january_2024.csv,378.0
2,6,3063.0,2359.0,342.0,58199.0,42830.0,appropriation_requirement_january_2024.csv,537.0
2,7,2259.0,1140.0,193.0,29305.0,15762.0,appropriation_requirement_january_2024.csv,570.0
3,10,10035.0,8381.0,490.0,249877.0,189971.0,appropriation_requirement_january_2024.csv,795.0
4,0,400030.0,382299.0,41406.0,1441943.0,619695.0,appropriation_requirement_january_2024.csv,111.0
5,1,78895.0,67730.0,6854.0,422033.0,93179.0,appropriation_requirement_january_2024.csv,198.0
0,8,94739.0,49395.0,8332.0,2355271.0,1872469.0,appropriation_requirement_january_2025 (1).csv,522.0
1,9,10725.0,6018.0,626.0,204129.0,146727.0,appropriation_requirement_january_2025 (1).csv,363.0
2,2,7105.0,8509.0,274.0,76107.0,41168.0,appropriation_requirement_january_2025 (1).csv,357.0
2,3,22880.0,10034.0,275.0,194437.0,106558.0,appropriation_requirement_january_2025 (1).csv,249.00000000000003
2,4,9334.0,8733.0,1291.0,201863.0,146952.0,appropriation_requirement_january_2025 (1).csv,351.0
2,5,46129.0,30699.0,4950.0,560941.0,331678.0,appropriation_requirement_january_2025 (1).csv,366.0
2,6,1687.0,1538.0,294.0,45302.0,37447.0,appropriation_requirement_january_2025 (1).csv,654.0
2,7,5289.0,5594.0,195.0,45371.0,17968.0,appropriation_requirement_january_2025 (1).csv,273.0
3,10,13768.0,8052.0,373.0,222491.0,170974.0,appropriation_requirement_january_2025 (1).csv,684.0
4,0,516330.0,443947.0,51664.0,1219526.0,499266.0,appropriation_requirement_january_2025 (1).csv,108.0
5,1,87174.0,74957.0,6914.0,540820.0,127193.0,appropriation_requirement_january_2025 (1).csv,192.0
0,8,75636.0,64230.0,9222.0,2189622.0,1714949.0,appropriation_requirement_july_2024 (1).csv,450.0
1,9,12585.0,6904.0,584.0,170959.0,118125.0,appropriation_requirement_july_2024 (1).csv,336.0
2,2,5770.0,3342.0,147.0,88614.0,52826.0,appropriation_requirement_july_2024 (1).csv,491.99999999999994
2,3,12590.0,6920.0,1692.0,156790.0,90723.0,appropriation_requirement_july_2024 (1).csv,213.0
2,4,9514.0,16231.0,1460.0,183441.0,139356.0,appropriation_requirement_july_2024 (1).csv,336.0
2,5,39280.0,40776.0,4729.0,523124.0,319057.0,appropriation_requirement_july_2024 (1).csv,339.0
2,6,2105.0,1950.0,289.0,58157.0,42696.0,appropriation_requirement_july_2024 (1).csv,582.0
2,7,4285.0,1013.0,92.0,44405.0,23505.0,appropriation_requirement_july_2024 (1).csv,477.0
3,10,4414.0,11243.0,400.0,228941.0,185654.0,appropriation_requirement_july_2024 (1).csv,714.0
4,0,416776.0,395766.0,42350.0,1292801.0,538601.0,appropriation_requirement_july_2024 (1).csv,111.0
5,1,92498.0,67437.0,6305.0,483611.0,75545.0,appropriation_requirement_july_2024 (1).csv,177.0
0,8,81780.0,84470.0,12169.0,2404876.0,1942951.0,appropriation_requirement_july_2025 (1).csv,429.0
1,9,10914.0,5784.0,786.0,221992.0,177517.0,appropriation_requirement_july_2025 (1).csv,300.0
2,2,6598.0,1330.0,91.0,92479.0,56729.0,appropriation_requirement_july_2025 (1).csv,489.0
2,3,19354.0,2265.0,207.0,302775.0,167277.0,appropriation_requirement_july_2025 (1).csv,348.0
2,4,11991.0,12520.0,954.0,176266.0,134649.0,appropriation_requirement_july_2025 (1).csv,288.0
