form_number,description,forms_received,approvals,denials,pending,pending_over_6_months,source_file,processing_time_days,month,year,seasonal_index,form_avg_processing_time,backlog_ratio
0,8,106319.0,59365.0,4402.0,2163012.0,1665443.0,appropriation_requirement_april_2024.csv,504.0,april,2024,385.3636363636364,505.69565217391306,20.34435665914221
1,9,12243.0,7697.0,459.0,152776.0,106103.0,appropriation_requirement_april_2024.csv,264.0,april,2024,385.3636363636364,295.69565217391306,12.477621692257433
2,2,7749.0,2220.0,130.0,79725.0,45131.0,appropriation_requirement_april_2024.csv,576.0,april,2024,385.3636363636364,401.2173913043478,10.287096774193548
2,3,12832.0,22179.0,235.0,157373.0,79150.0,appropriation_requirement_april_2024.csv,138.0,april,2024,385.3636363636364,401.2173913043478,12.263149692199798
2,4,7785.0,10273.0,900.0,205047.0,144421.0,appropriation_requirement_april_2024.csv,342.0,april,2024,385.3636363636364,401.2173913043478,26.335345491908555
2,5,59654.0,36890.0,4285.0,547637.0,325862.0,appropriation_requirement_april_2024.csv,378.0,april,2024,385.3636363636364,401.2173913043478,9.180068728522336
2,6,2798.0,2555.0,319.0,57828.0,41252.0,appropriation_requirement_april_2024.csv,552.0,april,2024,385.3636363636364,401.2173913043478,20.660235798499464
2,7,3191.0,965.0,108.0,34352.0,19155.0,appropriation_requirement_april_2024.csv,552.0,april,2024,385.3636363636364,401.2173913043478,10.761904761904763
3,10,7941.0,10844.0,482.0,245590.0,189490.0,appropriation_requirement_april_2024.csv,759.0,april,2024,385.3636363636364,692.3478260869565,30.922941324603375
4,0,423668.0,399005.0,41102.0,1383721.0,558193.0,appropriation_requirement_april_2024.csv,99.0,april,2024,385.3636363636364,99.0,3.26604259457265
5,1,79844.0,72534.0,7003.0,466275.0,82116.0,appropriation_requirement_april_2024.csv,180.0,april,2024,385.3636363636364,187.43478260869566,5.839752019537855
0,8,86126.0,74051.0,12397.0,2414723.0,1899108.0,appropriation_requirement_april_2025 (1).csv,510.0,april,2025,385.3636363636364,505.69565217391306,28.036771279621952
1,9,10370.0,7039.0,642.0,210086.0,161627.0,appropriation_requirement_april_2025 (1).csv,267.0,april,2025,385.3636363636364,295.69565217391306,20.257062964034326
2,2,6535.0,1095.0,93.0,77345.0,41419.0,appropriation_requirement_april_2025 (1).csv,447.0,april,2025,385.3636363636364,401.2173913043478,11.833690330477356
2,3,27173.0,5662.0,282.0,246689.0,123202.0,appropriation_requirement_april_2025 (1).csv,255.0,april,2025,385.3636363636364,401.2173913043478,9.07812614999632
2,4,6973.0,7906.0,1453.0,182819.0,138777.0,appropriation_requirement_april_2025 (1).csv,357.0,april,2025,385.3636363636364,401.2173913043478,26.21436765127617
2,5,45686.0,30910.0,6556.0,601381.0,358426.0,appropriation_requirement_april_2025 (1).csv,360.0,april,2025,385.3636363636364,401.2173913043478,13.163066080066539
2,6,1593.0,2078.0,318.0,55810.0,46556.0,appropriation_requirement_april_2025 (1).csv,627.0,april,2025,385.3636363636364,401.2173913043478,35.01254705144291
2,7,8418.0,1054.0,65.0,55384.0,19463.0,appropriation_requirement_april_2025 (1).csv,297.0,april,2025,385.3636363636364,401.2173913043478,6.5784534980401475
3,10,14184.0,6486.0,380.0,244076.0,164962.0,appropriation_requirement_april_2025 (1).csv,735.0,april,2025,385.3636363636364,692.3478260869565,17.20662671836447
4,0,492135.0,357844.0,24130.0,1870157.0,563647.0,appropriation_requirement_april_2025 (1).csv,87.0,april,2025,385.3636363636364,99.0,3.800081684737552
5,1,93866.0,88488.0,8604.0,535141.0,118459.0,appropriation_requirement_april_2025 (1).csv,192.0,april,2025,385.3636363636364,187.43478260869566,5.7010557490918
0,8,78894.0,66932.0,9109.0,2192899.0,1727711.0,appropriation_requirement_august 2024 (1).csv,477.0,august,2024,363.27272727272725,505.69565217391306,27.795158121553964
1,9,12923.0,7366.0,550.0,175938.0,122299.0,appropriation_requirement_august 2024 (1).csv,339.0,august,2024,363.27272727272725,295.69565217391306,13.613277623026926
2,2,4838.0,5901.0,178.0,87326.0,53067.0,appropriation_requirement_august 2024 (1).csv,435.0,august,2024,363.27272727272725,401.2173913043478,18.04629055589998
2,3,10805.0,10422.0,272.0,156122.0,94584.0,appropriation_requirement_august 2024 (1).csv,213.0,august,2024,363.27272727272725,401.2173913043478,14.447714232833611
2,4,11152.0,14043.0,1766.0,178644.0,141111.0,appropriation_requirement_august 2024 (1).csv,372.0,august,2024,363.27272727272725,401.2173913043478,16.01757374697391
2,5,43057.0,44044.0,4989.0,517614.0,316487.0,appropriation_requirement_august 2024 (1).csv,324.0,august,2024,363.27272727272725,401.2173913043478,12.021320079892238
2,6,2062.0,1859.0,218.0,58216.0,44098.0,appropriation_requirement_august 2024 (1).csv,612.0,august,2024,363.27272727272725,401.2173913043478,28.219098400387786
2,7,4757.0,2621.0,198.0,46283.0,23642.0,appropriation_requirement_august 2024 (1).csv,405.0,august,2024,363.27272727272725,401.2173913043478,9.727406473308113
3,10,4783.0,11729.0,502.0,221523.0,185036.0,appropriation_requirement_august 2024 (1).csv,708.0,august,2024,363.27272727272725,692.3478260869565,46.30497491638796
4,0,412713.0,399214.0,36431.0,1268169.0,545784.0,appropriation_requirement_august 2024 (1).csv,90.0,august,2024,363.27272727272725,99.0,3.072754982869493
5,1,95254.0,64790.0,6435.0,507844.0,79736.0,appropriation_requirement_august 2024 (1).csv,186.0,august,2024,363.27272727272725,187.43478260869566,5.331415673717915
0,8,71930.0,82886.0,10550.0,2389683.0,1952870.0,appropriation_requirement_august 2025 (1).csv,444.0,august,2025,363.27272727272725,505.69565217391306,33.22187930099679
1,9,13409.0,5758.0,664.0,228989.0,183318.0,appropriation_requirement_august 2025 (1).csv,279.0,august,2025,363.27272727272725,295.69565217391306,17.07598806860552
