Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of April 2024,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"106,319","59,365","4,402","2,163,012","1,665,443",16.8
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","12,243","7,697",459,"152,776","106,103",8.8
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"7,749","2,220",130,"79,725","45,131",19.2
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"12,832","22,179",235,"157,373","79,150",4.6
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"7,785","10,273",900,"205,047","144,421",11.4
I-485,Application to Register Permanent Residence or Adjust Status (Family),"59,654","36,890","4,285","547,637","325,862",12.6
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,798","2,555",319,"57,828","41,252",18.4
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"3,191",965,108,"34,352","19,155",18.4
I-751,Petition to Remove Conditions on Residence,"7,941","10,844",482,"245,590","189,490",25.3
I-765,Application for Employment Authorization,"423,668","399,005","41,102","1,383,721","558,193",3.3
N-400,Application for Naturalization,"79,844","72,534","7,003","466,275","82,116",6
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried May 2024",,,,,,,
