Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of August 2024,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"78,894","66,932","9,109","2,192,899","1,727,711",15.9
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","12,923","7,366",550,"175,938","122,299",11.3
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"4,838","5,901",178,"87,326","53,067",14.5
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"10,805","10,422",272,"156,122","94,584",7.1
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"11,152","14,043","1,766","178,644","141,111",12.4
I-485,Application to Register Permanent Residence or Adjust Status (Family),"43,057","44,044","4,989","517,614","316,487",10.8
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,062","1,859",218,"58,216","44,098",20.4
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"4,757","2,621",198,"46,283","23,642",13.5
I-751,Petition to Remove Conditions on Residence,"4,783","11,729",502,"221,523","185,036",23.6
I-765,Application for Employment Authorization,"412,713","399,214","36,431","1,268,169","545,784",3
N-400,Application for Naturalization,"95,254","64,790","6,435","507,844","79,736",6.2
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried September 2024",,,,,,,
