Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of February 2024,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"77,084","54,463","7,511","2,060,390","1,623,648",22.5
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","11,009","7,479",451,"145,256","98,866",8.2
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"5,293","2,002",189,"69,063","39,450",20.5
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"19,704","20,257",227,"171,899","67,208",4.5
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"13,681","10,428","1,056","206,916","146,219",10.8
I-485,Application to Register Permanent Residence or Adjust Status (Family),"36,577","30,621","4,162","519,113","329,640",13.2
I-485,Application to Register Permanent Residence or Adjust Status (Other),"3,551","2,317",313,"58,240","41,900",19.4
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"2,577","1,012",164,"30,474","16,436",20.4
I-751,Petition to Remove Conditions on Residence,"10,244","9,465",489,"250,257","191,055",26.7
I-765,Application for Employment Authorization,"407,570","403,851","49,652","1,395,742","610,425",3.5
N-400,Application for Naturalization,"81,332","68,971","6,663","426,255","90,043",6.3
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried March 2024",,,,,,,
