Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of June 2024,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"68,904","58,269","8,774","2,176,394","1,701,143",13.8
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","13,089","5,699",433,"165,754","115,315",11
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"5,567","2,185",110,"86,335","51,811",17.2
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"13,397","10,731","1,322","152,360","87,976",6
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"6,667","12,307","1,053","191,795","142,268",11.7
I-485,Application to Register Permanent Residence or Adjust Status (Family),"33,171","38,896","4,046","528,841","326,294",10.9
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,600","2,151",252,"58,327","42,441",17.4
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"3,374",477,98,"41,236","22,500",21.1
I-751,Petition to Remove Conditions on Residence,"4,787","9,908",397,"236,111","187,621",24.2
I-765,Application for Employment Authorization,"350,623","333,301","37,557","1,313,855","556,542",3
N-400,Application for Naturalization,"74,586","69,705","5,664","465,136","76,207",5.6
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried July 2024",,,,,,,
