Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of March 2024,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"121,485","56,064","4,491","2,121,601","1,647,909",16.9
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","11,557","7,938",463,"148,538","102,539",8
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"7,457","2,024",198,"74,314","42,485",21.3
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"18,544","19,759",196,"168,586","75,597",4.2
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"12,173","9,941","1,140","207,827","141,778",11.6
I-485,Application to Register Permanent Residence or Adjust Status (Family),"47,194","34,488","4,006","528,587","329,529",12.9
I-485,Application to Register Permanent Residence or Adjust Status (Other),"2,988","2,660",336,"58,330","41,313",17.4
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"2,737",816,196,"32,236","18,000",21.4
I-751,Petition to Remove Conditions on Residence,"10,129","11,186",509,"248,868","191,033",25.7
I-765,Application for Employment Authorization,"483,391","430,754","39,313","1,406,846","581,623",3.8
N-400,Application for Naturalization,"123,151","76,755","6,475","465,561","86,296",6.1
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried April 2024",,,,,,,
