Report to Congress,,,,,,,
Number of Service-Wide Forms,,,,,,,
"By Month, Form Status, and Processing Time",,,,,,,
For the Month of May 2024,,,,,,,
Form Number,Description,Forms Received,Approvals,Denials,Pending,Pending Over 6 Months,Avg. Processing Time
I-130,Petition for Alien Relative,"144,708","60,642","18,457","2,168,804","1,680,112",14.3
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant","13,499","7,023",531,"158,802","111,290",9.9
I-485,Application to Register Permanent Residence or Adjust Status (Asylum),"5,518","2,018",163,"83,081","48,248",19.1
I-485,Application to Register Permanent Residence or Adjust Status (Cuban),"11,946","17,127",232,"150,661","82,043",5.3
I-485,Application to Register Permanent Residence or Adjust Status (Employment),"7,170","13,020",999,"198,342","144,551",10.7
I-485,Application to Register Permanent Residence or Adjust Status (Family),"32,193","38,424","4,193","537,936","325,014",11.6
I-485,Application to Register Permanent Residence or Adjust Status (Other),"3,055","2,621",303,"58,030","41,544",17.1
I-485,Application to Register Permanent Residence or Adjust Status (Refugee),"5,074",851,152,"38,429","20,464",17.9
I-751,Petition to Remove Conditions on Residence,"7,440","11,078",477,"241,631","188,261",24.9
I-765,Application for Employment Authorization,"404,026","378,840","62,529","1,335,008","544,937",3.3
N-400,Application for Naturalization,"83,506","76,411","6,906","466,291","77,968",5.6
Notes,,,,,,,
"1) ""Forms Received"" are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.",,,,,,,
"2) ""Approvals"" are the number of applications or petitions approved during the reporting period.",,,,,,,
"3) ""Denials"" are the number of applications or petitions that were denied during the reporting period.",,,,,,,
"4) ""Pending"" is the number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus, the total pending counts cannot be calculated using data from previous reporting periods.",,,,,,,
"5) ""Pending Over Six Months"" is the number of applications pending a decision more than six months after receipt, as of the end of the reporting period.",,,,,,,
"6) ""Avg. Processing Time"" is the number of months it took for an application, petition, or request to be processed from receipt to completion; the average processing time is calculated using all applications and petitions completed in the reporting period and may differ from processing times reported on other USCIS.gov webpages. ",,,,,,,
"7) This report is produced in response to direction set forth in the Consolidated Appropriations Act, 2022, Joint Explanatory Statement (H. R. 2471 / P.L. 117-103).",,,,,,,
"8) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,
9) The report reflects the most up-to-date estimate available at the time the database is queried and may differ from other published reports.,,,,,,,
"10) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,
"11) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms.",,,,,,,
Source:,,,,,,,
"ELIS, CLAIMS3, queried June 2024",,,,,,,
